city,city_code,建築物高さ情報有り件数,建築物高さ情報有り割合,建築物高さ情報無し件数,建築物高さ情報無し割合,合計件数
北海道札幌市中央区,01101,40323,0.9822898903775883,727,0.017710109622411693,41050
北海道札幌市北区,01102,111853,0.982631995080383,1977,0.017368004919616972,113830
北海道札幌市東区,01103,82224,0.9714900102791924,2413,0.028509989720807684,84637
北海道札幌市白石区,01104,56214,0.966424261179019,1953,0.03357573882098097,58167
北海道札幌市豊平区,01105,53483,0.9795959484953386,1114,0.020404051504661427,54597
北海道札幌市南区,01106,67617,0.9703932261768082,2063,0.029606773823191733,69680
北海道札幌市西区,01107,61271,0.983862161988567,1005,0.016137838011432974,62276
北海道札幌市厚別区,01108,40044,0.9693302026094744,1267,0.030669797390525527,41311
北海道札幌市手稲区,01109,64844,0.9714165867689357,1908,0.02858341323106424,66752
北海道札幌市清田区,01110,52709,0.9729575072913206,1465,0.02704249270867944,54174
北海道室蘭市,01205,51459,0.9204557650341645,4447,0.07954423496583551,55906
北海道更別村,01639,6781,0.9979396615158205,14,0.0020603384841795438,6795
青森県むつ市,02208,73235,1.0,0,0.0,73235
岩手県盛岡市,03201,110940,0.9795853494861018,2312,0.020414650513898208,113252
宮城県仙台市青葉区,04101,106782,0.9714873175879762,3134,0.02851268241202373,109916
宮城県仙台市宮城野区,04102,67066,0.9769406692012994,1583,0.023059330798700636,68649
宮城県仙台市若林区,04103,50996,0.9849351050679852,780,0.015064894932014834,51776
宮城県仙台市太白区,04104,85264,0.9726893152935271,2394,0.027310684706472882,87658
宮城県仙台市泉区,04105,96734,0.9633901005875909,3676,0.03660989941240912,100410
福島県いわき市,07204,155611,0.6619941803083416,79453,0.33800581969165844,235064
福島県白河市,07205,61162,0.9753927119049518,1543,0.02460728809504824,62705
福島県南相馬市,07212,74767,0.997026270169356,223,0.0029737298306440857,74990
茨城県つくば市,08220,125761,0.6597159928447404,64868,0.3402840071552597,190629
茨城県鉾田市,08234,48977,0.7342988650504505,17722,0.26570113494954944,66699
茨城県境町,08546,17785,0.5951743524529818,12097,0.4048256475470183,29882
栃木県宇都宮市,09201,291176,0.972317391623757,8290,0.027682608376243045,299466
群馬県前橋市,10201,242170,0.9500066689157912,12744,0.049993331084208795,254914
群馬県桐生市,10203,80033,1.0,0,0.0,80033
群馬県館林市,10207,48959,0.7658459516956576,14969,0.2341540483043424,63928
埼玉県さいたま市西区,11101,38872,0.794830900094058,10034,0.205169099905942,48906
埼玉県さいたま市北区,11102,39335,0.7843782404083912,10813,0.21562175959160884,50148
埼玉県さいたま市大宮区,11103,33301,0.8365193800396895,6508,0.1634806199603105,39809
埼玉県さいたま市見沼区,11104,57816,0.8113501452448112,13443,0.1886498547551888,71259
埼玉県さいたま市中央区,11105,23979,0.8096090215409548,5639,0.19039097845904518,29618
埼玉県さいたま市桜区,11106,30424,0.7932625870205721,7929,0.20673741297942794,38353
埼玉県さいたま市浦和区,11107,38780,0.8353078016628613,7646,0.16469219833713866,46426
埼玉県さいたま市南区,11108,43700,0.84009381367988,8318,0.15990618632011996,52018
埼玉県さいたま市緑区,11109,42535,0.8355924878202106,8369,0.1644075121797894,50904
埼玉県さいたま市岩槻区,11110,55765,0.873758265175018,8057,0.126241734824982,63822
埼玉県熊谷市,11202,115680,0.7194119329842411,45118,0.2805880670157589,160798
埼玉県加須市,11210,101508,0.9622067396559079,3987,0.03779326034409214,105495
埼玉県春日部市,11214,110687,0.9929133363832898,790,0.007086663616710173,111477
埼玉県越谷市,11222,124239,0.9830123589638092,2147,0.01698764103619072,126386
埼玉県戸田市,11224,28871,1.0,0,0.0,28871
埼玉県新座市,11230,55983,1.0,0,0.0,55983
埼玉県久喜市,11232,108289,0.9851171253127132,1636,0.014882874687286787,109925
埼玉県八潮市,11234,34605,0.981312386569873,659,0.01868761343012704,35264
埼玉県蓮田市,11238,41651,0.9950071667462972,209,0.004992833253702819,41860
埼玉県吉川市,11243,30180,0.9911330049261083,270,0.008866995073891626,30450
埼玉県白岡市,11246,29285,0.9859937375845931,416,0.014006262415406888,29701
埼玉県毛呂山町,11326,24418,1.0,0,0.0,24418
埼玉県宮代町,11442,18909,0.9875182786714017,239,0.012481721328598287,19148
埼玉県杉戸町,11464,27449,0.9925151865779578,207,0.0074848134220422335,27656
埼玉県松伏町,11465,16672,0.9778872661153147,377,0.022112733884685317,17049
千葉県茂原市,12210,84009,0.9842420976169833,1345,0.015757902383016612,85354
千葉県柏市,12217,169112,0.9993440607955183,111,0.0006559392044816603,169223
千葉県八千代市,12221,69868,1.0,0,0.0,69868
東京都千代田区,13101,11622,0.9454160904579842,671,0.05458390954201578,12293
東京都中央区,13102,15920,0.9476190476190476,880,0.05238095238095238,16800
東京都港区,13103,28301,0.8865950314839761,3620,0.11340496851602394,31921
東京都新宿区,13104,52490,0.9123618160328165,5042,0.08763818396718348,57532
東京都文京区,13105,37660,0.9563472917036999,1719,0.04365270829630006,39379
東京都台東区,13106,40092,0.9715975184179915,1172,0.028402481582008532,41264
東京都墨田区,13107,50052,0.9496271842449769,2655,0.05037281575502305,52707
東京都江東区,13108,55804,0.8451694003968073,10223,0.15483059960319262,66027
東京都品川区,13109,61506,0.9106333836723817,6036,0.08936661632761837,67542
東京都目黒区,13110,53118,0.9595014450867052,2242,0.0404985549132948,55360
東京都大田区,13111,145990,0.9328792158165808,10504,0.06712078418341917,156494
東京都世田谷区,13112,186900,0.9186938719333861,16541,0.08130612806661391,203441
東京都渋谷区,13113,38457,0.9253591279867177,3102,0.07464087201328232,41559
東京都中野区,13114,67596,0.9365959097711024,4576,0.06340409022889763,72172
東京都杉並区,13115,130722,0.9217133791644633,11103,0.07828662083553675,141825
東京都豊島区,13116,52040,0.916229444698757,4758,0.083770555301243,56798
東京都北区,13117,69249,0.9625536883365998,2694,0.03744631166340019,71943
東京都荒川区,13118,42495,0.9507774918894731,2200,0.049222508110526905,44695
東京都板橋区,13119,101851,0.9593561027070814,4315,0.04064389729291864,106166
東京都練馬区,13120,158873,0.8934434065717772,18948,0.10655659342822277,177821
東京都足立区,13121,157343,0.9371567774905595,10551,0.06284322250944048,167894
東京都葛飾区,13122,112812,0.9567392908330719,5101,0.04326070916692816,117913
東京都江戸川区,13123,133866,0.924565571732464,10922,0.07543442826753598,144788
東京都八王子市,13201,166972,0.9084538460701422,16826,0.09154615392985778,183798
東京都立川市,13202,42771,0.894528799096499,5043,0.10547120090350107,47814
東京都武蔵野市,13203,28526,0.8755678330263965,4054,0.12443216697360343,32580
東京都三鷹市,13204,39816,0.8662619933424711,6147,0.13373800665752889,45963
東京都青梅市,13205,55388,0.8448315309406507,10173,0.1551684690593493,65561
東京都府中市,13206,52134,0.8487009181480758,9294,0.1512990818519242,61428
東京都昭島市,13207,27299,0.8107088765479761,6374,0.18929112345202387,33673
東京都調布市,13208,44823,0.8573313951264298,7459,0.14266860487357025,52282
東京都町田市,13209,116392,0.8692327224387986,17510,0.1307672775612015,133902
東京都小金井市,13210,27354,0.8882322379529809,3442,0.11176776204701909,30796
東京都小平市,13211,49260,0.8972023896255282,5644,0.10279761037447181,54904
東京都日野市,13212,44327,0.8401152322650343,8436,0.1598847677349658,52763
東京都東村山市,13213,42222,0.8594459258656136,6905,0.1405540741343864,49127
東京都国分寺市,13214,29506,0.9003967043027159,3264,0.0996032956972841,32770
